mut;environment;gen;mean;max
0,3;2;40;29,98528356;44,16835431
0,3;2;41;37,21032113;50,41924544
0,3;2;42;40,33137767;50,42052814
0,3;2;43;42,37684857;51,02482988
0,3;2;44;43,69773089;55,29821793
0,3;2;45;40,99253864;54,65358539
0,3;2;46;42,87415784;51,09695615
0,3;2;47;45,93942697;51,18767676
0,3;2;48;42,83171443;56,92106601
0,3;2;49;47,22971958;57,81307543
0,3;2;50;47,53869966;57,78668236
0,3;2;51;42,61720327;62,06530742
0,3;2;52;46,88100967;62,01525868
0,3;2;53;51,48178341;62,26990165
0,3;2;54;54,76965641;62,27780304
0,3;2;55;47,46788505;62,29317107
0,3;2;56;47,86866937;57,72742768
0,3;2;57;44,34823823;57,92862375
0,3;2;58;46,74335476;56,16137916
0,3;2;59;48,28468726;59,24658518
0,3;2;60;51,26010209;59,412634
0,3;2;61;52,13407134;59,39404313
0,3;2;62;53,61255731;59,38879417
0,3;2;63;49,1733202;60,3029432
0,3;2;64;52,37860875;60,30457517
0,3;2;65;45,68658979;61,33530164
0,3;2;66;50,08007617;60,31358721
0,3;2;67;52,08896723;60,26653039
0,3;2;68;52,77963563;61,13496408
0,3;2;69;55,10960153;61,14528512
0,3;2;70;55,33388847;61,30069186
0,3;2;71;56,18550724;61,34134123
0,3;2;72;55,15302642;62,26721747
0,3;2;73;51,86823108;58,84203061
0,3;2;74;52,91582011;59,7027117
0,3;2;75;54,04850903;59,71633387
0,3;2;76;54,66311708;60,48166319
0,3;2;77;55,78379962;59,59354155
0,3;2;78;58,41816643;60,57684032
0,3;2;79;53,48301668;62,04812033
0,5;1;0;9,903816234;27,63957458
0,5;1;1;23,41959061;33,64010635
0,5;1;2;30,42303311;49,67083359
0,5;1;3;27,57873076;43,5667394
0,5;1;4;36,18253845;54,29441961
0,5;1;5;38,23621182;56,45177935
0,5;1;6;36,85134837;57,3104893
0,5;1;7;42,43711598;56,47903437
0,5;1;8;43,16357229;59,23158997
0,5;1;9;48,03034854;57,42630634
0,5;1;10;40,07268316;59,23021105
0,5;1;11;43,47406904;61,00453849
0,5;1;12;48,2852679;62,77489644
0,5;1;13;49,48494764;69,86381177
0,5;1;14;48,4218374;63,12277685
0,5;1;15;43,7463404;61,91565985
0,5;1;16;39,85302793;57,69764453
0,5;1;17;46,56664165;67,40925325
0,5;1;18;49,01131081;69,17634118
0,5;1;19;49,16956225;72,77005847
0,5;1;20;47,10501777;69,15980559
0,5;1;21;43,41189577;64,6747579
0,5;1;22;50,16916844;77,23078815
0,5;1;23;65,98224829;80,01421882
