,Enemy training group,Algorithm,Run,Repetition,Enemy,Energy enemy,Enegy player
303,1,Roulette,8,4,5,90.0,0
304,1,Roulette,8,5,5,90.0,0
305,1,Roulette,8,1,6,100,0
306,1,Roulette,8,2,6,100,0
307,1,Roulette,8,3,6,100,0
308,1,Roulette,8,4,6,100,0
309,1,Roulette,8,5,6,100,0
310,1,Roulette,8,1,7,0,7.600000000000232
311,1,Roulette,8,2,7,0,7.600000000000232
312,1,Roulette,8,3,7,0,7.600000000000232
313,1,Roulette,8,4,7,0,7.600000000000232
314,1,Roulette,8,5,7,0,7.600000000000232
315,1,Roulette,8,1,8,0,19.600000000000236
316,1,Roulette,8,2,8,0,19.600000000000236
317,1,Roulette,8,3,8,0,19.600000000000236
318,1,Roulette,8,4,8,0,19.600000000000236
319,1,Roulette,8,5,8,0,19.600000000000236
320,1,Roulette,9,1,1,80.0,0
321,1,Roulette,9,2,1,80.0,0
322,1,Roulette,9,3,1,80.0,0
323,1,Roulette,9,4,1,80.0,0
324,1,Roulette,9,5,1,80.0,0
325,1,Roulette,9,1,2,0,8
326,1,Roulette,9,2,2,0,8
327,1,Roulette,9,3,2,0,8
328,1,Roulette,9,4,2,0,8
329,1,Roulette,9,5,2,0,8
330,1,Roulette,9,1,3,90.0,0
331,1,Roulette,9,2,3,90.0,0
332,1,Roulette,9,3,3,90.0,0
333,1,Roulette,9,4,3,90.0,0
334,1,Roulette,9,5,3,90.0,0
335,1,Roulette,9,1,4,80.0,0
336,1,Roulette,9,2,4,80.0,0
337,1,Roulette,9,3,4,80.0,0
338,1,Roulette,9,4,4,80.0,0
339,1,Roulette,9,5,4,80.0,0
340,1,Roulette,9,1,5,80.0,89.2000000000001
341,1,Roulette,9,2,5,80.0,89.2000000000001
342,1,Roulette,9,3,5,80.0,89.2000000000001
343,1,Roulette,9,4,5,80.0,89.2000000000001
344,1,Roulette,9,5,5,80.0,89.2000000000001
345,1,Roulette,9,1,6,100,0
346,1,Roulette,9,2,6,100,0
347,1,Roulette,9,3,6,100,0
348,1,Roulette,9,4,6,100,0
349,1,Roulette,9,5,6,100,0
350,1,Roulette,9,1,7,10.0,0
351,1,Roulette,9,2,7,10.0,0
352,1,Roulette,9,3,7,10.0,0
353,1,Roulette,9,4,7,10.0,0
354,1,Roulette,9,5,7,10.0,0
355,1,Roulette,9,1,8,0,47.8000000000003
356,1,Roulette,9,2,8,0,47.8000000000003
357,1,Roulette,9,3,8,0,47.8000000000003
358,1,Roulette,9,4,8,0,47.8000000000003
359,1,Roulette,9,5,8,0,47.8000000000003
360,1,Roulette,10,1,1,80.0,0
361,1,Roulette,10,2,1,80.0,0
362,1,Roulette,10,3,1,80.0,0
363,1,Roulette,10,4,1,80.0,0
364,1,Roulette,10,5,1,80.0,0
365,1,Roulette,10,1,2,0,8
366,1,Roulette,10,2,2,0,8
367,1,Roulette,10,3,2,0,8
368,1,Roulette,10,4,2,0,8
369,1,Roulette,10,5,2,0,8
370,1,Roulette,10,1,3,80.0,0
371,1,Roulette,10,2,3,80.0,0
372,1,Roulette,10,3,3,80.0,0
373,1,Roulette,10,4,3,80.0,0
374,1,Roulette,10,5,3,80.0,0
375,1,Roulette,10,1,4,80.0,0
376,1,Roulette,10,2,4,80.0,0
377,1,Roulette,10,3,4,80.0,0
378,1,Roulette,10,4,4,80.0,0
379,1,Roulette,10,5,4,80.0,0
380,1,Roulette,10,1,5,70.0,0
381,1,Roulette,10,2,5,70.0,0
382,1,Roulette,10,3,5,70.0,0
383,1,Roulette,10,4,5,60.0,0
384,1,Roulette,10,5,5,70.0,0
385,1,Roulette,10,1,6,90.0,0
386,1,Roulette,10,2,6,90.0,0
387,1,Roulette,10,3,6,90.0,0
388,1,Roulette,10,4,6,90.0,0
389,1,Roulette,10,5,6,90.0,0
390,1,Roulette,10,1,7,0,4.0000000000002345
391,1,Roulette,10,2,7,0,4.0000000000002345
392,1,Roulette,10,3,7,0,4.0000000000002345
393,1,Roulette,10,4,7,0,4.0000000000002345
